Team,1,2,3,4,5,6,7,8,9,R,H,E,Game,10,11,12,13,14,15,16,17,18,19
SF,0,0,1,0,2,2,0,2,0,7,13,1,360412127,,,,,,,,,,
COL,0,1,0,0,1,0,0,0,0,2,7,0,360412127,,,,,,,,,,
LAA,0,1,0,0,0,0,0,2,2,5,10,1,360412111,,,,,,,,,,
OAK,1,0,2,0,0,0,1,0,0,4,7,0,360412111,,,,,,,,,,
TEX,0,0,5,0,0,1,2,0,0,8,12,1,360412112,,,,,,,,,,
SEA,0,0,0,0,0,0,0,0,0,0,4,0,360412112,,,,,,,,,,
MIA,0,0,0,0,0,0,0,1,0,1,7,0,360413121,,,,,,,,,,
NYM,0,0,0,0,0,0,2,0,-,2,7,0,360413121,,,,,,,,,,
LAA,0,0,1,0,1,0,0,1,2,5,11,1,360413111,,,,,,,,,,
OAK,0,0,0,0,0,0,0,1,0,1,3,0,360413111,,,,,,,,,,
TEX,0,0,1,0,0,0,0,1,0,2,6,3,360413112,0.0,,,,,,,,,
SEA,0,0,1,0,1,0,0,0,0,4,8,1,360413112,2.0,,,,,,,,,
BAL,0,0,2,0,0,0,0,0,0,2,9,0,360413102,,,,,,,,,,
BOS,0,0,2,2,0,0,0,0,-,4,8,0,360413102,,,,,,,,,,
ATL,0,0,0,0,0,0,0,0,0,0,5,0,360413120,,,,,,,,,,
WSH,0,0,0,3,0,0,0,0,-,3,4,0,360413120,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,1,1,6,3,360413122,,,,,,,,,,
PHI,1,0,1,0,0,0,0,0,-,2,5,1,360413122,,,,,,,,,,
DET,0,0,0,1,0,4,0,0,2,7,10,0,360413123,,,,,,,,,,
PIT,2,0,0,0,0,0,0,1,0,3,4,0,360413123,,,,,,,,,,
NYY,0,0,0,0,1,0,0,1,0,2,8,1,360413114,,,,,,,,,,
TOR,0,1,0,0,2,0,0,4,-,7,10,0,360413114,,,,,,,,,,
CLE,0,0,0,3,0,0,0,1,0,4,5,0,360413130,,,,,,,,,,
TB,0,0,0,0,0,0,0,1,0,1,5,2,360413130,,,,,,,,,,
CIN,1,0,0,0,0,0,1,0,0,2,7,0,360413116,,,,,,,,,,
CHC,5,0,2,2,0,0,0,0,-,9,8,0,360413116,,,,,,,,,,
